2026-07-07 12:05:24,552 | INFO | bot.handlers.user_handler | 👤 Yangi foydalanuvchi: 8547063111
2026-07-07 12:05:24,552 | INFO | aiogram.event | Update id=131486076 is handled. Duration 156 ms by bot id=8838659979
2026-07-07 12:05:27,594 | INFO | bot.handlers.user_handler | 🔍 Foydalanuvchi 8547063111 kod=1 qidirdi
2026-07-07 12:05:27,594 | INFO | aiogram.event | Update id=131486077 is handled. Duration 218 ms by bot id=8838659979
2026-07-07 12:05:30,969 | INFO | aiogram.event | Update id=131486078 is handled. Duration 235 ms by bot id=8838659979
2026-07-07 12:05:32,196 | INFO | bot.handlers.user_handler | 📤 Foydalanuvchi 8547063111: anime_id=1, ep=1, action=watch
2026-07-07 12:05:32,197 | INFO | aiogram.event | Update id=131486079 is handled. Duration 359 ms by bot id=8838659979
2026-07-07 12:06:00,854 | INFO | aiogram.event | Update id=131486080 is handled. Duration 485 ms by bot id=8838659979
2026-07-07 12:06:01,524 | INFO | aiogram.event | Update id=131486081 is handled. Duration 125 ms by bot id=8838659979
2026-07-07 12:06:08,228 | INFO | aiogram.event | Update id=131486082 is handled. Duration 235 ms by bot id=8838659979
2026-07-07 12:06:08,752 | INFO | aiogram.event | Update id=131486083 is not handled. Duration 16 ms by bot id=8838659979
2026-07-07 12:06:11,300 | INFO | aiogram.event | Update id=131486084 is handled. Duration 125 ms by bot id=8838659979
2026-07-07 12:06:13,734 | INFO | aiogram.event | Update id=131486085 is handled. Duration 139 ms by bot id=8838659979
2026-07-07 12:06:14,999 | INFO | aiogram.event | Update id=131486086 is handled. Duration 172 ms by bot id=8838659979
2026-07-07 12:06:15,944 | INFO | aiogram.event | Update id=131486087 is handled. Duration 218 ms by bot id=8838659979
2026-07-07 12:06:18,416 | INFO | aiogram.event | Update id=131486088 is handled. Duration 125 ms by bot id=8838659979
2026-07-07 12:06:24,473 | INFO | bot.database.db | ✅ Anime o'chirildi: ID=1
2026-07-07 12:06:24,606 | INFO | aiogram.event | Update id=131486089 is handled. Duration 296 ms by bot id=8838659979
2026-07-07 12:06:27,062 | INFO | aiogram.event | Update id=131486090 is handled. Duration 140 ms by bot id=8838659979
2026-07-07 12:06:28,107 | INFO | aiogram.event | Update id=131486091 is handled. Duration 125 ms by bot id=8838659979
2026-07-07 12:06:30,552 | INFO | aiogram.event | Update id=131486092 is handled. Duration 140 ms by bot id=8838659979
2026-07-07 12:06:33,630 | INFO | aiogram.event | Update id=131486093 is handled. Duration 125 ms by bot id=8838659979
2026-07-07 12:06:38,761 | INFO | aiogram.event | Update id=131486094 is handled. Duration 125 ms by bot id=8838659979
2026-07-07 12:06:44,173 | INFO | aiogram.event | Update id=131486095 is handled. Duration 156 ms by bot id=8838659979
2026-07-07 12:06:46,564 | INFO | aiogram.event | Update id=131486096 is handled. Duration 125 ms by bot id=8838659979
2026-07-07 12:06:48,499 | INFO | aiogram.event | Update id=131486097 is handled. Duration 172 ms by bot id=8838659979
2026-07-07 12:06:50,607 | INFO | bot.database.db | ✅ Anime qo'shildi: naruto (kod: 1)
2026-07-07 12:06:50,789 | INFO | aiogram.event | Update id=131486098 is handled. Duration 343 ms by bot id=8838659979
2026-07-07 12:06:52,831 | INFO | aiogram.event | Update id=131486099 is handled. Duration 140 ms by bot id=8838659979
2026-07-07 12:06:54,256 | INFO | aiogram.event | Update id=131486100 is handled. Duration 141 ms by bot id=8838659979
2026-07-07 12:06:59,503 | INFO | aiogram.event | Update id=131486101 is handled. Duration 141 ms by bot id=8838659979
2026-07-07 12:07:10,732 | INFO | bot.database.db | ✅ Qism saqlandi: anime_id=2, ep=1
2026-07-07 12:07:10,866 | INFO | aiogram.event | Update id=131486102 is handled. Duration 296 ms by bot id=8838659979
2026-07-07 12:07:14,722 | INFO | bot.handlers.user_handler | 👤 Yangi foydalanuvchi: 8547063111
2026-07-07 12:07:14,723 | INFO | aiogram.event | Update id=131486103 is handled. Duration 140 ms by bot id=8838659979
2026-07-07 12:07:16,388 | INFO | bot.handlers.user_handler | 👤 Yangi foydalanuvchi: 8547063111
2026-07-07 12:07:16,389 | INFO | aiogram.event | Update id=131486104 is handled. Duration 171 ms by bot id=8838659979
2026-07-07 12:07:17,345 | INFO | bot.handlers.user_handler | 👤 Yangi foydalanuvchi: 8547063111
2026-07-07 12:07:17,345 | INFO | aiogram.event | Update id=131486105 is handled. Duration 156 ms by bot id=8838659979
2026-07-07 12:07:19,323 | INFO | bot.handlers.user_handler | 👤 Yangi foydalanuvchi: 8547063111
2026-07-07 12:07:19,323 | INFO | aiogram.event | Update id=131486106 is handled. Duration 125 ms by bot id=8838659979
2026-07-07 12:07:20,142 | INFO | bot.handlers.user_handler | 👤 Yangi foydalanuvchi: 8547063111
2026-07-07 12:07:20,143 | INFO | aiogram.event | Update id=131486107 is handled. Duration 171 ms by bot id=8838659979
2026-07-07 12:07:24,489 | INFO | bot.handlers.user_handler | 🔍 Foydalanuvchi 8547063111 kod=1 qidirdi
2026-07-07 12:07:24,490 | INFO | aiogram.event | Update id=131486108 is handled. Duration 155 ms by bot id=8838659979
2026-07-07 12:07:26,367 | INFO | aiogram.event | Update id=131486109 is handled. Duration 421 ms by bot id=8838659979
2026-07-07 12:07:27,071 | INFO | bot.handlers.user_handler | 📤 Foydalanuvchi 8547063111: anime_id=2, ep=1, action=watch
2026-07-07 12:07:27,072 | INFO | aiogram.event | Update id=131486110 is handled. Duration 250 ms by bot id=8838659979
2026-07-07 12:08:21,602 | INFO | bot.handlers.user_handler | 👤 Yangi foydalanuvchi: 8643156636
2026-07-07 12:08:21,603 | INFO | aiogram.event | Update id=131486111 is handled. Duration 500 ms by bot id=8838659979
2026-07-07 12:10:30,923 | INFO | bot.handlers.user_handler | 👤 Yangi foydalanuvchi: 8832717810
2026-07-07 12:10:30,924 | INFO | aiogram.event | Update id=131486112 is handled. Duration 1031 ms by bot id=8838659979
2026-07-07 12:10:33,620 | INFO | bot.handlers.user_handler | 🔍 Foydalanuvchi 8832717810 kod=1 qidirdi
2026-07-07 12:10:33,620 | INFO | aiogram.event | Update id=131486113 is handled. Duration 155 ms by bot id=8838659979
2026-07-07 12:10:35,887 | INFO | aiogram.event | Update id=131486114 is handled. Duration 139 ms by bot id=8838659979
2026-07-07 12:10:38,049 | INFO | aiogram.event | Update id=131486115 is handled. Duration 250 ms by bot id=8838659979
2026-07-07 12:10:39,124 | INFO | bot.handlers.user_handler | 📤 Foydalanuvchi 8832717810: anime_id=2, ep=1, action=watch
2026-07-07 12:10:39,124 | INFO | aiogram.event | Update id=131486116 is handled. Duration 266 ms by bot id=8838659979
2026-07-07 12:10:51,559 | INFO | bot.handlers.user_handler | 🔍 Foydalanuvchi 8643156636 kod=1 qidirdi
2026-07-07 12:10:51,561 | INFO | aiogram.event | Update id=131486117 is handled. Duration 172 ms by bot id=8838659979
2026-07-07 14:14:48,901 | INFO | __main__ | 🚀 Bot ishga tushirilmoqda...
2026-07-07 14:14:49,005 | INFO | bot.database.db | ✅ Jadvallar muvaffaqiyatli yaratildi.
